"","rptro_id","lat","long"
"1",1212052,-73.1855066526169,-39.0292240920138
"2",1212103,-72.2999569168297,-39.8728995608645
"3",1274212,-72.9952265125245,-46.7248129463711
"4",1135511,-72.4635041297698,-40.5172793624743
"5",1173527,-72.4563176738814,-40.5147432876825
"6",1135854,-72.3051242864458,-39.8645430924296
"7",1064248,-72.9504089665132,-46.7308943425415
"8",1206175,-72.5912163445072,-39.8019252784316
"9",1135857,-72.4145328654978,-39.8712960524957
"10",1212100,-72.3034181749795,-39.8776553980108
"11",1088034,-72.9928199885455,-46.7335902729122
"12",1135860,-72.2908497318029,-39.872894235674
"13",1309475,-72.1129929309084,-40.4432141578376
"14",1173270,-72.2575642172815,-39.7386725804758
"15",1063133,-73.3975718923394,-40.267252519233
"16",1063136,-73.3918152037933,-40.2655150204747
"17",1063142,-73.3789471141025,-40.2789206649099
"18",1064254,-72.9907874297768,-46.7284068671876
"19",1136290,-72.3851499553217,-40.0663669956521
"20",1211522,-72.5767427202894,-39.7750572202391
"21",1274221,-72.5767427202894,-39.7750572202391
"22",1054699,-73.8267958632496,-42.0937034277216
"23",1211457,-73.8003298739054,-42.097347513512
"24",1210344,-72.1024235705398,-38.7813362443223
"25",1211540,-72.5664900336012,-39.784391749988
"26",1274239,-72.5664900336012,-39.784391749988
"27",1246257,-72.4586010017992,-40.0673810631227
"28",1051605,-72.9884504715978,-39.299506946609
"29",1211453,-73.8131572848516,-42.0962200302092
"30",1054690,-73.8256537848606,-42.0992396381611
"31",1136045,-72.5574807864697,-39.7825988363805
"32",1055232,-73.6929001233836,-43.148060026419
"33",1063970,-72.1011165580533,-39.3968684519643
"34",1058112,-73.7483618649248,-43.0540850024619
"35",1057754,-73.3096123666617,-41.4700382242945
"36",1054696,-73.8267407563871,-42.0966929634943
"37",1176331,-72.4028583157472,-40.0631623591757
"38",1211446,-73.8261710738869,-42.0954532708481
"39",1054693,-73.8258716255785,-42.0985754000621
"40",1211528,-72.5643146941413,-39.7782021868964
"41",1274227,-72.5643146941413,-39.7782021868964
"42",1210218,-72.3104557392088,-44.9379968970843
"43",1212355,-73.0917504040109,-39.9709263929752
"44",1059714,-73.4184061430317,-38.5013646776843
"45",1211449,-73.8211447750027,-42.0971849917354
"46",1093998,-72.7920481108547,-39.8099855484763
"47",1174835,-73.4146732190758,-38.5005932885604
"48",1092791,-72.8645331271065,-39.9387823137106
"49",1270992,-73.9034305509769,-41.9253107538554
"50",1024573,-73.4293460173212,-39.9355477553812
"51",1063139,-73.3764408803798,-40.276498193764
"52",1212214,-72.3149846145254,-39.8667897641299
"53",1208093,-72.3148257710514,-39.5992278485526
"54",1206107,-72.1557569987885,-44.9284577640053
"55",1246129,-72.9504089665132,-46.7308943425415
"56",1274171,-72.9514125050787,-46.7227137424878
"57",1053487,-72.4564513776443,-40.0696939949966
"58",1064184,-72.674924103609,-45.3627470142121
"59",1066550,-72.5989879103107,-39.4554963884013
"60",1243360,-72.8672289180819,-39.7415455936435
"61",1211525,-72.5694188864992,-39.7778137819185
"62",1274224,-72.5694188864992,-39.7778137819185
"63",1136049,-72.5814755497487,-39.7815972040046
"64",1212352,-73.0900483916513,-39.9656100883901
"65",1054216,-71.9604003233661,-40.2890686804426
"66",1136051,-72.5790104434648,-39.784302429257
"67",1060880,-72.579125241059,-39.7840255566985
"68",1208090,-72.3194399975787,-39.5997578702114
"69",1060877,-72.5886208518941,-39.784619743016
"70",1212097,-72.2999096442426,-39.8830416877553
"71",1067396,-73.4109849901331,-38.5014444289041
"72",1135988,-72.7341261742685,-39.9146220692181
"73",1172917,-72.5659745788858,-45.6194338171752
"74",1273691,-73.3140546377472,-40.1015278131529
"75",1053521,-71.9601287315362,-40.3064004860186
"76",1054388,-73.5578681742769,-40.4633114325447
"77",1057580,-72.2861606548363,-39.8690641571806
"78",1212208,-72.3213337612584,-39.8661529491715
"79",1060640,-72.7659205259372,-40.7725624137223
"80",1066480,-72.4924457921393,-39.4632196726046
"81",1026532,-73.653079732914,-42.6146999769478
"82",1310287,-73.09033077874,-39.2360183570335
"83",1212817,-73.0519969332651,-41.0969863394898
"84",1212820,-73.0502559634593,-41.0994879513734
"85",1067463,-73.2840687073318,-38.557775319307
"86",1089747,-72.6877840122313,-39.3286707915414
"87",1053716,-72.4939729972855,-39.7720102518726
"88",1093970,-72.9054468829593,-38.7957966127283
"89",1062760,-72.5996076223269,-40.6222454972164
"90",1209708,-72.3827228912101,-40.0743293319462
"91",1210318,-72.7960347888138,-39.8149982433724
"92",1212685,-72.5583514842967,-40.9974722490587
"93",1066570,-71.9583299299613,-40.2226127221315
"94",1093694,-72.5144151643509,-40.0359738888281
"95",1243023,-72.6369908138438,-40.4754159406249
"96",1058053,-72.6055623448903,-44.7615388140711
"97",1209410,-72.2084598523431,-45.2100942168727
"98",1171644,-72.0068758298321,-39.5185329543319
"99",1060872,-72.5564604925995,-39.7830548037556
"100",1173190,-72.5290667245295,-45.6031860736892
"101",1094333,-72.6038069126909,-39.4525597577922
"102",1060875,-72.5598557877735,-39.7860991371497
"103",1136117,-72.7637899372042,-39.8942709371708
"104",1175822,-72.6548773957744,-39.4627005920392
"105",1089750,-72.6889877729073,-39.3273433006077
"106",1062512,-72.7758857077504,-40.379598545584
"107",1094316,-72.7597661474745,-39.4846349397256
"108",1212106,-72.3106512258699,-39.8669955811661
"109",1066539,-72.7599274311972,-39.4850434657286
"110",1088151,-72.5437264078258,-40.5674116346166
"111",1056148,-72.8845373115438,-39.4126358527878
"112",1211543,-72.5753524603073,-39.7867214170407
"113",1274242,-72.5753524603073,-39.7867214170407
"114",1212220,-72.3190024513607,-39.8641802954583
"115",1240072,-73.6560071076108,-42.3689285001956
"116",1210634,-73.3905205413922,-39.8034908931608
"117",1064191,-72.6915645388494,-45.3633097554406
"118",1066379,-72.6018714734984,-39.4503756726139
"119",1241448,-73.3643403952718,-38.5554463845718
"120",1210682,-72.4479794894793,-45.654994947155
"121",1312178,-72.7373860473943,-45.4795704693387
"122",1131910,-72.355462951689,-40.9020412467531
"123",1212701,-72.5608991762129,-40.9870599672975
"124",1052110,-73.3267617429714,-38.5517702724795
"125",1210637,-73.3895919300592,-39.8027392305907
"126",1208960,-73.6211657122488,-41.232564506195
"127",1056745,-72.4607082951419,-40.8869343389843
"128",1060882,-72.5787863147264,-39.7820365750426
"129",1066711,-72.4607082951419,-40.8869343389843
"130",1089168,-72.4827658327296,-45.7756245559658
"131",1131966,-72.3614825165407,-40.8999274638377
"132",1206103,-72.1555746935371,-44.9308657557175
"133",1274154,-72.4170744833168,-39.5131536283939
"134",1307907,-72.0384742035242,-39.4698605088655
"135",1053578,-71.9509132944169,-40.3049057473555
"136",1056392,-72.4674232607294,-39.459037499746
"137",1065721,-72.797926606815,-39.9129780153598
"138",1210296,-72.8037195235974,-39.8190989271209
"139",1211283,-71.9723013951695,-40.3637057786207
"140",1212205,-72.3258011541932,-39.8643013139308
"141",1056749,-72.4576175967554,-40.8879920992803
"142",1066714,-72.4576175967554,-40.8879920992803
"143",1242083,-72.2059911227953,-44.972800230815
"144",1212217,-72.3221193206416,-39.8615859053566
"145",1272453,-73.3026975069236,-38.5244623260061
